date,geography,geography code,Provision of unpaid care: Total: All usual residents aged 5 and over,Provision of unpaid care: Provides no unpaid care,Provision of unpaid care: Provides 19 hours or less unpaid care a week,Provision of unpaid care: Provides 9 hours or less unpaid care a week,Provision of unpaid care: Provides 10 to 19 hours unpaid care a week,Provision of unpaid care: Provides 20 to 49 hours unpaid care a week,Provision of unpaid care: Provides 20 to 34 hours unpaid care a week,Provision of unpaid care: Provides 35 to 49 hours unpaid care a week,Provision of unpaid care: Provides 50 or more hours unpaid care a week
2021,North Somerset,E06000024,206068,187306,10166,7693,2473,3245,1602,1643,5351
2021,South Gloucestershire,E06000025,274305,250653,13007,9668,3339,4204,2088,2116,6441
2021,Plymouth,E06000026,251489,227533,10646,7641,3005,5267,2403,2864,8043
2021,Torbay,E06000027,133265,118359,6514,4498,2016,3207,1553,1654,5185
2021,Swindon,E06000030,219784,201466,9060,6595,2465,3806,1759,2047,5452
2021,Peterborough,E06000031,201509,185265,7313,5216,2097,3853,1712,2141,5078
2021,Luton,E06000032,209302,193203,7112,4738,2374,4114,1925,2189,4873
2021,Southend-on-Sea,E06000033,170444,155425,7405,5320,2085,3046,1390,1656,4568
2021,Thurrock,E06000034,163739,151068,5732,4067,1665,2856,1269,1587,4083
2021,Medway,E06000035,262465,239847,10306,7265,3041,4932,2184,2748,7380
2021,Bracknell Forest,E06000036,117488,108718,4802,3628,1174,1555,710,845,2413
2021,West Berkshire,E06000037,153138,141112,6883,5324,1559,1932,924,1008,3211
2021,Reading,E06000038,163989,153003,5444,4003,1441,2493,1070,1423,3049
2021,Slough,E06000039,146729,136585,4506,3042,1464,2644,1237,1407,2994
2021,Windsor and Maidenhead,E06000040,145476,134701,6175,4725,1450,1875,945,930,2725
2021,Wokingham,E06000041,167650,155455,7195,5600,1595,1976,990,986,3024
2021,Milton Keynes,E06000042,269327,248723,10185,7471,2714,4418,2075,2343,6001
2021,Brighton and Hove,E06000043,265352,244548,11334,8679,2655,4040,1981,2059,5430
2021,Portsmouth,E06000044,196722,181418,7363,5280,2083,3257,1488,1769,4684
2021,Southampton,E06000045,235126,216988,8399,6118,2281,4006,1766,2240,5733
2021,Isle of Wight,E06000046,134907,120702,6653,4819,1834,2666,1286,1380,4886
2021,County Durham,E06000047,497316,444638,22444,15557,6887,11908,5056,6852,18326
2021,Cheshire East,E06000049,378839,344383,18703,14028,4675,6138,3001,3137,9615
2021,Cheshire West and Chester,E06000050,339532,306894,16421,11955,4466,6312,2999,3313,9905
2021,Shropshire,E06000051,309186,279482,15681,11637,4044,5492,2721,2771,8531
2021,Cornwall,E06000052,544772,490220,26422,19107,7315,10677,5283,5394,17453
2021,Isles of Scilly,E06000053,1957,1758,118,87,31,27,19,8,54
2021,Wiltshire,E06000054,484704,442444,22932,17386,5546,7522,3675,3847,11806
2021,Bedford,E06000055,174062,159730,7421,5415,2006,3029,1397,1632,3882
2021,Central Bedfordshire,E06000056,276447,252896,12887,9600,3287,4172,2035,2137,6492
2021,Northumberland,E06000057,306332,275216,14730,10578,4152,6429,2995,3434,9957
2021,"Bournemouth, Christchurch and Poole",E06000058,381318,347966,17394,12863,4531,6334,3010,3324,9624
2021,Dorset,E06000059,364555,329043,18838,14036,4802,6102,3021,3081,10572
2021,Buckinghamshire,E06000060,522190,480417,23825,18279,5546,7277,3561,3716,10671
2021,North Northamptonshire,E06000061,339319,310403,14066,10196,3870,5881,2755,3126,8969
2021,West Northamptonshire,E06000062,401760,369994,16486,12261,4225,6223,2851,3372,9057
2021,Cambridge,E07000008,139327,130613,5151,4104,1047,1523,704,819,2040
2021,East Cambridgeshire,E07000009,83243,76067,4079,3072,1007,1185,584,601,1912
2021,Fenland,E07000010,97290,87974,4046,2870,1176,1998,895,1103,3272
2021,Huntingdonshire,E07000011,171172,157021,7645,5743,1902,2466,1230,1236,4040
2021,South Cambridgeshire,E07000012,153347,140468,7869,6114,1755,1998,979,1019,3012
2021,Allerdale,E07000026,91815,82804,4377,3105,1272,1837,865,972,2797
2021,Barrow-in-Furness,E07000027,63921,57590,2912,1968,944,1390,624,766,2029
2021,Carlisle,E07000028,104647,95426,4651,3335,1316,1876,921,955,2694
2021,Copeland,E07000029,63945,57470,2886,1963,923,1390,620,770,2199
2021,Eden,E07000030,52583,47803,2669,2000,669,836,436,400,1275
2021,South Lakeland,E07000031,100536,91546,5122,3827,1295,1438,750,688,2430
2021,Amber Valley,E07000032,120137,107579,6433,4711,1722,2361,1115,1246,3764
2021,Bolsover,E07000033,76171,67663,3733,2562,1171,1915,892,1023,2860
2021,Chesterfield,E07000034,98490,87778,5058,3621,1437,2196,989,1207,3458
2021,Derbyshire Dales,E07000035,68904,62027,4032,3048,984,1055,522,533,1790
2021,Erewash,E07000036,107413,96677,5375,3950,1425,2074,960,1114,3287
2021,High Peak,E07000037,86606,78503,4457,3331,1126,1422,692,730,2224
2021,North East Derbyshire,E07000038,97162,86564,5264,3754,1510,1963,925,1038,3371
2021,South Derbyshire,E07000039,101447,92098,4849,3603,1246,1804,870,934,2696
2021,East Devon,E07000040,144337,130146,7484,5580,1904,2471,1214,1257,4236
2021,Exeter,E07000041,124825,114847,5373,4069,1304,1886,908,978,2719
2021,Mid Devon,E07000042,78830,71328,3989,2990,999,1379,670,709,2134
2021,North Devon,E07000043,94098,85130,4459,3248,1211,1662,787,875,2847
2021,South Hams,E07000044,85100,76521,4801,3628,1173,1484,751,733,2294
2021,Teignbridge,E07000045,128894,115676,6906,5153,1753,2376,1166,1210,3936
2021,Torridge,E07000046,65310,58683,3220,2377,843,1246,602,644,2161
2021,West Devon,E07000047,54900,49222,3040,2269,771,958,495,463,1680
2021,Eastbourne,E07000061,96968,87553,4344,3157,1187,1946,887,1059,3125
2021,Hastings,E07000062,86174,77509,3885,2835,1050,1942,839,1103,2838
2021,Lewes,E07000063,95365,85555,5320,3986,1334,1635,840,795,2855
2021,Rother,E07000064,89378,80049,4639,3451,1188,1716,843,873,2974
2021,Wealden,E07000065,152970,138783,7933,6052,1881,2409,1232,1177,3845
2021,Basildon,E07000066,175375,159932,7337,5285,2052,3140,1446,1694,4966
2021,Braintree,E07000067,146815,134162,6487,4868,1619,2370,1132,1238,3796
2021,Brentwood,E07000068,72767,66768,3462,2616,846,976,462,514,1561
2021,Castle Point,E07000069,85274,77144,3870,2749,1121,1646,804,842,2614
2021,Chelmsford,E07000070,171642,157942,7637,5867,1770,2372,1149,1223,3691
2021,Colchester,E07000071,181885,167005,7677,5765,1912,2860,1302,1558,4343
2021,Epping Forest,E07000072,127059,116589,5764,4303,1461,1850,916,934,2856
2021,Harlow,E07000073,87078,79832,3429,2506,923,1610,734,876,2207
2021,Maldon,E07000074,63166,56938,3318,2439,879,1094,541,553,1816
2021,Rochford,E07000075,81404,74189,3926,2902,1024,1205,630,575,2084
2021,Tendring,E07000076,141602,125893,6587,4590,1997,3275,1483,1792,5847
2021,Uttlesford,E07000077,86315,79545,4100,3216,884,1033,503,530,1637
2021,Cheltenham,E07000078,112975,104564,4791,3729,1062,1448,658,790,2172
2021,Cotswold,E07000079,86817,79821,4044,3151,893,1084,584,500,1868
2021,Forest of Dean,E07000080,83027,74977,4199,3086,1113,1436,714,722,2415
2021,Gloucester,E07000081,124957,114415,5291,3869,1422,2248,1052,1196,3003
2021,Stroud,E07000082,115461,105206,6100,4683,1417,1669,832,837,2486
2021,Tewkesbury,E07000083,89570,81965,4251,3253,998,1240,627,613,2114
2021,Basingstoke and Deane,E07000084,174600,161054,7388,5618,1770,2418,1164,1254,3740
2021,East Hampshire,E07000085,119734,109797,5791,4486,1305,1611,775,836,2535
2021,Eastleigh,E07000086,128855,118241,5901,4468,1433,1818,903,915,2895
2021,Fareham,E07000087,109355,99717,5527,4191,1336,1530,750,780,2581
2021,Gosport,E07000088,77711,70462,3521,2524,997,1432,696,736,2296
2021,Hart,E07000089,94249,87324,4110,3233,877,1064,528,536,1751
2021,Havant,E07000090,118082,106809,5366,3932,1434,2134,979,1155,3773
2021,New Forest,E07000091,168550,152397,8860,6731,2129,2571,1297,1274,4722
2021,Rushmoor,E07000092,93560,86783,3435,2582,853,1392,653,739,1950
2021,Test Valley,E07000093,123552,113332,5840,4564,1276,1695,812,883,2685
2021,Winchester,E07000094,121401,111991,5725,4469,1256,1329,666,663,2356
2021,Broxbourne,E07000095,93062,85307,3852,2784,1068,1674,783,891,2229
2021,Dacorum,E07000096,145500,133254,6768,5113,1655,2211,1073,1138,3267
2021,Hertsmere,E07000098,101530,92970,4747,3526,1221,1668,843,825,2145
2021,North Hertfordshire,E07000099,125741,114884,6161,4634,1527,1864,858,1006,2832
2021,Three Rivers,E07000102,88650,81027,4502,3418,1084,1339,685,654,1782
2021,Watford,E07000103,95718,88545,3734,2741,993,1603,767,836,1836
2021,Ashford,E07000105,125137,113987,5450,3963,1487,2199,1016,1183,3501
2021,Canterbury,E07000106,150606,137222,6743,5003,1740,2478,1191,1287,4163
2021,Dartford,E07000107,108471,99808,4262,3107,1155,1700,787,913,2701
2021,Dover,E07000108,110741,99238,5365,3791,1574,2344,1093,1251,3794
2021,Gravesham,E07000109,100299,91313,4141,2933,1208,1876,898,978,2969
2021,Maidstone,E07000110,165392,151210,7370,5484,1886,2567,1200,1367,4245
2021,Sevenoaks,E07000111,113792,103809,5538,4234,1304,1648,776,872,2797
2021,Folkestone and Hythe,E07000112,104645,93823,4983,3537,1446,2168,1033,1135,3671
2021,Swale,E07000113,142781,128852,6061,4339,1722,2884,1308,1576,4984
2021,Thanet,E07000114,133253,119406,5872,4100,1772,2899,1295,1604,5076
2021,Tonbridge and Malling,E07000115,124520,113690,5725,4341,1384,1947,963,984,3158
2021,Tunbridge Wells,E07000116,109144,100529,4952,3825,1127,1410,676,734,2253
2021,Burnley,E07000117,88886,80446,3604,2463,1141,2057,957,1100,2779
2021,Chorley,E07000118,111670,101129,5539,4050,1489,1996,941,1055,3006
2021,Fylde,E07000119,78061,70107,4090,3021,1069,1485,741,744,2379
2021,Hyndburn,E07000120,77308,69637,3349,2273,1076,1781,790,991,2541
2021,Lancaster,E07000121,136193,123638,6303,4591,1712,2470,1144,1326,3782
2021,Pendle,E07000122,89805,81653,3647,2559,1088,1959,861,1098,2546
2021,Preston,E07000123,138914,126770,5660,3892,1768,2834,1307,1527,3650
2021,Ribble Valley,E07000124,58928,53583,3159,2376,783,885,473,412,1301
2021,Rossendale,E07000125,67091,60778,3000,2136,864,1344,614,730,1969
2021,South Ribble,E07000126,105534,95178,5494,4075,1419,1948,917,1031,2914
2021,West Lancashire,E07000127,112183,100874,5533,3931,1602,2215,1107,1108,3561
2021,Wyre,E07000128,107056,95099,5609,4008,1601,2341,1083,1258,4007
2021,Blaby,E07000129,97218,88167,4840,3597,1243,1702,851,851,2509
2021,Charnwood,E07000130,174798,159858,8093,6032,2061,2682,1365,1317,4165
2021,Harborough,E07000131,92906,84831,4773,3605,1168,1326,711,615,1976
2021,Hinckley and Bosworth,E07000132,107954,97712,5514,4097,1417,1760,820,940,2968
2021,Melton,E07000133,49334,44829,2490,1876,614,757,348,409,1258
2021,North West Leicestershire,E07000134,99251,90048,4732,3487,1245,1718,779,939,2753
2021,Oadby and Wigston,E07000135,54884,49594,2713,1933,780,1090,520,570,1487
2021,Boston,E07000136,66855,61028,2505,1747,758,1280,578,702,2042
2021,East Lindsey,E07000137,136661,120431,6344,4363,1981,3500,1628,1872,6386
2021,Lincoln,E07000138,98694,90852,3513,2495,1018,1675,741,934,2654
2021,North Kesteven,E07000139,112544,101916,5171,3792,1379,1973,991,982,3484
2021,South Holland,E07000140,90389,81863,3849,2724,1125,1692,779,913,2985
2021,South Kesteven,E07000141,136653,124404,6274,4682,1592,2239,1070,1169,3736
2021,West Lindsey,E07000142,90750,81664,4428,3182,1246,1738,837,901,2920
2021,Breckland,E07000143,134691,122244,5853,4282,1571,2513,1180,1333,4081
2021,Broadland,E07000144,125785,114033,6506,4876,1630,1975,990,985,3271
2021,Great Yarmouth,E07000145,94797,84908,3917,2647,1270,2346,959,1387,3626
2021,King's Lynn and West Norfolk,E07000146,147066,132732,6601,4710,1891,2794,1351,1443,4939
2021,North Norfolk,E07000147,99316,89097,5043,3721,1322,1875,950,925,3301
2021,Norwich,E07000148,136989,126355,5328,3973,1355,2212,1016,1196,3094
2021,South Norfolk,E07000149,134958,122698,6814,5116,1698,2047,1018,1029,3399
2021,Craven,E07000163,54578,49480,2971,2253,718,875,441,434,1252
2021,Hambleton,E07000164,86872,78526,4733,3567,1166,1310,667,643,2303
2021,Harrogate,E07000165,155380,142317,7642,5865,1777,2035,1054,981,3386
2021,Richmondshire,E07000166,47451,43330,2217,1657,560,731,357,374,1173
2021,Ryedale,E07000167,52410,47510,2757,2071,686,808,404,404,1335
2021,Scarborough,E07000168,104023,93578,4906,3557,1349,2127,1029,1098,3412
2021,Selby,E07000169,87036,79286,4109,3035,1074,1433,679,754,2208
2021,Ashfield,E07000170,119523,105694,6293,4437,1856,2963,1359,1604,4573
2021,Bassetlaw,E07000171,111837,100525,5338,3720,1618,2342,1065,1277,3632
2021,Broxtowe,E07000172,105646,95192,5649,4199,1450,1873,912,961,2932
2021,Gedling,E07000173,111282,99567,6316,4668,1648,2195,1068,1127,3204
2021,Mansfield,E07000174,104522,92450,5581,3948,1633,2605,1126,1479,3886
2021,Newark and Sherwood,E07000175,116894,104518,6226,4513,1713,2398,1113,1285,3752
2021,Rushcliffe,E07000176,113226,102812,6246,4811,1435,1648,851,797,2520
2021,Cherwell,E07000177,151661,140064,6205,4605,1600,2177,1043,1134,3215
2021,Oxford,E07000178,154903,144613,5763,4480,1283,1986,944,1042,2541
2021,South Oxfordshire,E07000179,141105,129880,6649,5200,1449,1683,849,834,2893
2021,Vale of White Horse,E07000180,131114,120519,6143,4803,1340,1797,877,920,2655
2021,West Oxfordshire,E07000181,108518,99551,5135,3960,1175,1500,722,778,2332
2021,Mendip,E07000187,110629,100739,5462,4141,1321,1622,781,841,2806
2021,Sedgemoor,E07000188,119343,108100,5633,4105,1528,2158,1083,1075,3452
2021,South Somerset,E07000189,164443,149484,7752,5789,1963,2691,1255,1436,4516
2021,Cannock Chase,E07000192,94955,85023,4642,3213,1429,2129,925,1204,3161
2021,East Staffordshire,E07000193,117052,107352,4967,3708,1259,1907,844,1063,2826
2021,Lichfield,E07000194,101207,91492,5233,3900,1333,1688,859,829,2794
2021,Newcastle-under-Lyme,E07000195,117506,105498,6059,4315,1744,2295,1109,1186,3654
2021,South Staffordshire,E07000196,105549,94619,5835,4285,1550,2082,992,1090,3013
2021,Stafford,E07000197,130149,117538,6899,5160,1739,2156,1115,1041,3556
2021,Staffordshire Moorlands,E07000198,91773,81935,5316,3927,1389,1715,866,849,2807
2021,Tamworth,E07000199,74205,67156,3209,2248,961,1431,624,807,2409
2021,Babergh,E07000200,88369,80328,4388,3268,1120,1339,639,700,2314
2021,Ipswich,E07000202,131315,120045,5421,3944,1477,2399,1122,1277,3450
2021,Mid Suffolk,E07000203,98199,89309,5074,3838,1236,1419,692,727,2397
2021,Elmbridge,E07000207,130408,120891,5669,4385,1284,1531,736,795,2317
2021,Epsom and Ewell,E07000208,76312,70302,3408,2622,786,1019,491,528,1583
2021,Guildford,E07000209,136965,126502,6195,4879,1316,1611,822,789,2657
2021,Mole Valley,E07000210,83377,76123,4389,3408,981,1064,548,516,1801
2021,Reigate and Banstead,E07000211,141801,130648,6216,4778,1438,1984,995,989,2953
2021,Runnymede,E07000212,83295,76686,3581,2761,820,1165,566,599,1863
2021,Spelthorne,E07000213,96946,88683,4388,3228,1160,1559,745,814,2316
2021,Surrey Heath,E07000214,85975,79377,3773,2867,906,1125,528,597,1700
2021,Tandridge,E07000215,82898,75825,4097,3121,976,1104,591,513,1872
2021,Waverley,E07000216,121763,112122,5849,4601,1248,1448,741,707,2344
2021,Woking,E07000217,97728,89817,4400,3314,1086,1448,706,742,2063
2021,North Warwickshire,E07000218,61827,55696,2988,2182,806,1184,576,608,1959
2021,Nuneaton and Bedworth,E07000219,126444,114090,5619,3932,1687,2650,1195,1455,4085
2021,Rugby,E07000220,107995,98986,4850,3586,1264,1693,807,886,2466
2021,Stratford-on-Avon,E07000221,128480,117460,6319,4881,1438,1750,912,838,2951
2021,Warwick,E07000222,141015,129906,6424,5011,1413,1930,963,967,2755
2021,Adur,E07000223,61352,55476,3076,2267,809,1054,551,503,1746
2021,Arun,E07000224,157635,143066,7337,5402,1935,2693,1333,1360,4539
2021,Chichester,E07000225,118759,108269,5877,4511,1366,1739,882,857,2874
2021,Crawley,E07000226,110856,101887,4334,3068,1266,2008,923,1085,2627
2021,Horsham,E07000227,139410,127798,6985,5501,1484,1797,877,920,2830
2021,Mid Sussex,E07000228,144249,132667,6867,5330,1537,1836,917,919,2879
2021,Worthing,E07000229,105890,96173,5164,3923,1241,1721,855,866,2832
2021,Bromsgrove,E07000234,94025,85120,5067,3810,1257,1430,759,671,2408
2021,Malvern Hills,E07000235,76372,69028,4127,3142,985,1229,617,612,1988
2021,Redditch,E07000236,82044,74607,3501,2462,1039,1560,692,868,2376
2021,Worcester,E07000237,98590,90514,4151,3058,1093,1529,679,850,2396
2021,Wychavon,E07000238,126241,114819,6040,4595,1445,2075,991,1084,3307
2021,Wyre Forest,E07000239,96800,87244,4581,3264,1317,1917,926,991,3058
2021,St Albans,E07000240,139508,128632,6536,5116,1420,1707,846,861,2633
2021,Welwyn Hatfield,E07000241,113210,104123,5031,3719,1312,1703,799,904,2353
2021,East Hertfordshire,E07000242,141842,130842,6578,5121,1457,1739,911,828,2683
2021,Stevenage,E07000243,83876,76273,3683,2681,1002,1643,760,883,2277
2021,East Suffolk,E07000244,235424,211851,11839,8723,3116,4441,2140,2301,7293
2021,West Suffolk,E07000245,170119,156790,6929,5152,1777,2338,1110,1228,4062
2021,Somerset West and Taunton,E07000246,150083,136241,7211,5439,1772,2661,1325,1336,3970
2021,Bolton,E08000001,277505,251525,11477,7910,3567,5902,2682,3220,8601
2021,Bury,E08000002,182692,165816,8141,5775,2366,3640,1744,1896,5095
2021,Manchester,E08000003,517560,479346,15630,10472,5158,10400,4481,5919,12184
2021,Oldham,E08000004,226083,205397,8737,5932,2805,5078,2323,2755,6871
2021,Rochdale,E08000005,209134,189720,8218,5534,2684,4700,2143,2557,6496
2021,Salford,E08000006,252665,231773,8892,6152,2740,4950,2130,2820,7050
2021,Stockport,E08000007,278196,251993,13757,10028,3729,4971,2455,2516,7475
2021,Tameside,E08000008,217404,196729,9284,6456,2828,4672,2160,2512,6719
2021,Trafford,E08000009,221585,202763,10054,7362,2692,3681,1766,1915,5087
2021,Wigan,E08000010,311548,280073,13927,9511,4416,7051,3148,3903,10497
2021,Knowsley,E08000011,144783,128331,6207,3792,2415,4262,1977,2285,5983
2021,Liverpool,E08000012,459716,415537,17811,11632,6179,11413,5123,6290,14955
2021,St. Helens,E08000013,173589,153065,8890,6037,2853,4722,2096,2626,6912
2021,Sefton,E08000014,265725,236703,13169,8958,4211,6495,3067,3428,9358
2021,Wirral,E08000015,303883,270384,15297,10564,4733,7330,3364,3966,10872
2021,Barnsley,E08000016,231109,206377,10450,7128,3322,5815,2509,3306,8467
2021,Doncaster,E08000017,291164,263032,11845,8085,3760,6468,2830,3638,9819
2021,Rotherham,E08000018,251162,224849,10971,7528,3443,6030,2557,3473,9312
2021,Sheffield,E08000019,526342,477333,23173,16562,6611,10535,4854,5681,15301
2021,Newcastle upon Tyne,E08000021,284472,261079,10252,7209,3043,5474,2345,3129,7667
2021,North Tyneside,E08000022,197976,178292,9405,6642,2763,4108,1869,2239,6171
2021,South Tyneside,E08000023,139955,125073,6319,4218,2101,3514,1502,2012,5049
2021,Sunderland,E08000024,260322,231105,11718,7865,3853,7103,3024,4079,10396
2021,Birmingham,E08000025,1069896,978451,38488,26055,12433,23476,10323,13153,29481
2021,Coventry,E08000026,324882,297491,12838,8958,3880,6162,2843,3319,8391
2021,Dudley,E08000027,305312,273796,15007,10524,4483,6734,3091,3643,9775
2021,Sandwell,E08000028,319656,290063,11710,7619,4091,7780,3332,4448,10103
2021,Solihull,E08000029,204546,184606,10051,7290,2761,3926,1859,2067,5963
2021,Walsall,E08000030,265931,239516,10729,7307,3422,6513,2860,3653,9173
2021,Wolverhampton,E08000031,247401,224549,9648,6550,3098,5691,2535,3156,7513
2021,Bradford,E08000032,510315,464672,19877,13738,6139,11567,5151,6416,14199
2021,Calderdale,E08000033,195314,177337,9193,6740,2453,3800,1730,2070,4984
2021,Kirklees,E08000034,408072,371038,18517,13352,5165,7808,3588,4220,10709
2021,Leeds,E08000035,765153,703663,30851,22532,8319,12655,5965,6690,17984
2021,Wakefield,E08000036,333296,301565,13868,9731,4137,7002,3085,3917,10861
2021,Gateshead,E08000037,186099,167297,8254,5722,2532,4335,1925,2410,6213
2021,City of London,E09000001,8372,7876,336,263,73,81,42,39,79
2021,Barking and Dagenham,E09000002,201619,187395,5516,3533,1983,3989,1827,2162,4719
2021,Barnet,E09000003,365238,336430,15512,11236,4276,5968,2860,3108,7328
2021,Bexley,E09000004,231442,212158,9486,6775,2711,4026,1870,2156,5772
2021,Brent,E09000005,319846,297010,10434,6967,3467,6024,2843,3181,6378
2021,Bromley,E09000006,310500,285138,14046,10585,3461,4671,2271,2400,6645
2021,Camden,E09000007,200104,185499,7853,5791,2062,3192,1551,1641,3560
2021,Croydon,E09000008,365548,336717,14366,10251,4115,6630,3143,3487,7835
2021,Ealing,E09000009,345600,321291,11717,8062,3655,6036,2854,3182,6556
2021,Enfield,E09000010,308725,284114,11523,7895,3628,5981,2775,3206,7107
2021,Greenwich,E09000011,270042,250651,8844,6285,2559,4636,2155,2481,5911
2021,Hackney,E09000012,243011,226689,7763,5574,2189,4152,1875,2277,4407
2021,Hammersmith and Fulham,E09000013,174085,163347,5521,4038,1483,2480,1146,1334,2737
2021,Haringey,E09000014,249306,232415,8466,6056,2410,4056,1848,2208,4369
2021,Harrow,E09000015,245503,225468,10225,7119,3106,4535,2258,2277,5275
2021,Havering,E09000016,245561,224924,10161,7297,2864,4182,2003,2179,6294
2021,Hillingdon,E09000017,286028,263565,11009,7878,3131,5005,2349,2656,6449
2021,Hounslow,E09000018,269960,250557,8910,6107,2803,4898,2354,2544,5595
2021,Islington,E09000019,205377,190537,7465,5465,2000,3443,1597,1846,3932
2021,Kensington and Chelsea,E09000020,137204,127865,4977,3705,1272,2046,1022,1024,2316
2021,Kingston upon Thames,E09000021,158504,146993,6372,4828,1544,2249,1113,1136,2890
2021,Lambeth,E09000022,302389,283550,9947,7343,2604,4424,2036,2388,4468
2021,Lewisham,E09000023,281426,261469,10067,7311,2756,4757,2143,2614,5133
2021,Merton,E09000024,201655,187762,7156,5171,1985,2987,1443,1544,3750
2021,Newham,E09000025,327182,305626,8654,5582,3072,6322,2795,3527,6580
2021,Redbridge,E09000026,289066,267671,10439,7123,3316,5103,2581,2522,5853
2021,Richmond upon Thames,E09000027,184175,171029,8062,6250,1812,2085,970,1115,2999
2021,Southwark,E09000028,291275,272453,9290,6848,2442,4589,2094,2495,4943
2021,Sutton,E09000029,196843,180970,8243,6019,2224,3183,1514,1669,4447
2021,Tower Hamlets,E09000030,291216,272665,8090,5478,2612,5162,2279,2883,5299
2021,Waltham Forest,E09000031,259441,241160,8802,6214,2588,4430,2119,2311,5049
2021,Wandsworth,E09000032,308802,291097,9567,7163,2404,3883,1780,2103,4255
2021,Westminster,E09000033,195734,182218,6685,4817,1868,3317,1469,1848,3514
2021,Isle of Anglesey,W06000001,65667,58921,3025,2118,907,1373,656,717,2348
2021,Gwynedd,W06000002,112042,102054,4562,3265,1297,1912,902,1010,3514
2021,Conwy,W06000003,109711,98071,5160,3627,1533,2284,1090,1194,4196
2021,Denbighshire,W06000004,91048,80879,4253,2887,1366,2190,1028,1162,3726
2021,Flintshire,W06000005,147336,132074,7328,5172,2156,3058,1453,1605,4876
2021,Wrexham,W06000006,128119,115261,5746,3994,1752,2772,1253,1519,4340
2021,Ceredigion,W06000008,68766,61520,3582,2581,1001,1326,687,639,2338
2021,Pembrokeshire,W06000009,117777,104887,5828,4115,1713,2693,1243,1450,4369
2021,Carmarthenshire,W06000010,178840,158454,8778,6006,2772,4231,2073,2158,7377
2021,Swansea,W06000011,227061,202355,11081,7526,3555,5110,2460,2650,8515
2021,Neath Port Talbot,W06000012,135244,118688,6451,4184,2267,3897,1792,2105,6208
2021,Bridgend,W06000013,138145,122836,6360,4314,2046,3376,1549,1827,5573
2021,Vale of Glamorgan,W06000014,125088,112165,6473,4695,1778,2445,1244,1201,4005
2021,Cardiff,W06000015,343238,314251,14186,10140,4046,6160,2996,3164,8641
2021,Rhondda Cynon Taff,W06000016,225119,200129,10116,6635,3481,5556,2515,3041,9318
2021,Caerphilly,W06000018,166734,147666,7583,5040,2543,4339,1967,2372,7146
2021,Blaenau Gwent,W06000019,63359,56125,2696,1714,982,1753,776,977,2785
2021,Torfaen,W06000020,87274,77341,4222,2859,1363,2197,1011,1186,3514
2021,Monmouthshire,W06000021,88995,79794,4952,3647,1305,1609,837,772,2640
2021,Newport,W06000022,149859,134884,6674,4618,2056,3380,1595,1785,4921
2021,Powys,W06000023,127438,113975,6937,4998,1939,2422,1220,1202,4104
2021,Merthyr Tydfil,W06000024,55538,49326,2326,1423,903,1511,688,823,2375
