Charity,Food Moved KG,Year,eatwellcatagory_name,member_id
Batley Drop In (SRC),1212.48,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",3906
Batley Outreach and Drop In  (YSH),813.71,2022,"Beans, pulses, fish, eggs, meat and other proteins",10136
Batley Outreach and Drop In  (YSH),18,2022,Dairy and alternatives,10136
Batley Outreach and Drop In  (YSH),312.6,2022,Eat less often and in small amounts,10136
Batley Outreach and Drop In  (YSH),638.5,2022,Fruit and vegetables,10136
Batley Outreach and Drop In  (YSH),372.84,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",10136
BBest (Birstall Community Partnership) (YSH),603.75,2022,"Beans, pulses, fish, eggs, meat and other proteins",9532
BBest (Birstall Community Partnership) (YSH),8,2022,Dairy and alternatives,9532
BBest (Birstall Community Partnership) (YSH),240,2022,Eat less often and in small amounts,9532
BBest (Birstall Community Partnership) (YSH),405,2022,Fruit and vegetables,9532
BBest (Birstall Community Partnership) (YSH),5,2022,Not Applicable,9532
BBest (Birstall Community Partnership) (YSH),286.2,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9532
Beacon House Hostel,999.2,2022,"Beans, pulses, fish, eggs, meat and other proteins",935
Beacon House Hostel,666.35,2022,Dairy and alternatives,935
Beacon House Hostel,708.6,2022,Eat less often and in small amounts,935
Beacon House Hostel,2808.3,2022,Fruit and vegetables,935
Beacon House Hostel,296.2,2022,Not Applicable,935
Beacon House Hostel,841.15,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",935
Beeston Village Food Pantry (HFA),768.84,2022,"Beans, pulses, fish, eggs, meat and other proteins",9901
Beeston Village Food Pantry (HFA),639.9,2022,Dairy and alternatives,9901
Beeston Village Food Pantry (HFA),836.48,2022,Eat less often and in small amounts,9901
Beeston Village Food Pantry (HFA),1961,2022,Fruit and vegetables,9901
Beeston Village Food Pantry (HFA),441.45,2022,Not Applicable,9901
Beeston Village Food Pantry (HFA),27,2022,Oil & Spreads,9901
Beeston Village Food Pantry (HFA),1151.9,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9901
Beeston Village Pantry YSH,862.34,2022,"Beans, pulses, fish, eggs, meat and other proteins",9903
Beeston Village Pantry YSH,8,2022,Dairy and alternatives,9903
Beeston Village Pantry YSH,250.9,2022,Eat less often and in small amounts,9903
Beeston Village Pantry YSH,529.8,2022,Fruit and vegetables,9903
Beeston Village Pantry YSH,38,2022,Not Applicable,9903
Beeston Village Pantry YSH,359.4,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9903
BHT Early Education & Training,889.01,2022,"Beans, pulses, fish, eggs, meat and other proteins",5733
BHT Early Education & Training,622.9,2022,Dairy and alternatives,5733
BHT Early Education & Training,663.08,2022,Eat less often and in small amounts,5733
BHT Early Education & Training,2246.68,2022,Fruit and vegetables,5733
BHT Early Education & Training,439,2022,Not Applicable,5733
BHT Early Education & Training,3,2022,Oil & Spreads,5733
BHT Early Education & Training,1063.68,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",5733
Birstall Community Centre (Howden Clough),1046.35,2022,"Beans, pulses, fish, eggs, meat and other proteins",8556
Birstall Community Centre (Howden Clough),693.1,2022,Dairy and alternatives,8556
Birstall Community Centre (Howden Clough),908,2022,Eat less often and in small amounts,8556
Birstall Community Centre (Howden Clough),2780.1,2022,Fruit and vegetables,8556
Birstall Community Centre (Howden Clough),290.6,2022,Not Applicable,8556
Birstall Community Centre (Howden Clough),6,2022,Oil & Spreads,8556
Birstall Community Centre (Howden Clough),1260.35,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",8556
Boothroyd Primary Academy,567.8,2022,"Beans, pulses, fish, eggs, meat and other proteins",7709
Boothroyd Primary Academy,613.1,2022,Dairy and alternatives,7709
Boothroyd Primary Academy,923.3,2022,Eat less often and in small amounts,7709
Boothroyd Primary Academy,2224,2022,Fruit and vegetables,7709
Boothroyd Primary Academy,404.4,2022,Not Applicable,7709
Boothroyd Primary Academy,17.7,2022,Oil & Spreads,7709
Boothroyd Primary Academy,1252.59,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",7709
Bradford Deaf Centre (YSH),459.8,2022,"Beans, pulses, fish, eggs, meat and other proteins",9467
Bradford Deaf Centre (YSH),24,2022,Dairy and alternatives,9467
Bradford Deaf Centre (YSH),163.5,2022,Eat less often and in small amounts,9467
Bradford Deaf Centre (YSH),350.3,2022,Fruit and vegetables,9467
Bradford Deaf Centre (YSH),10,2022,Not Applicable,9467
Bradford Deaf Centre (YSH),208.1,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9467
Bradford Deaf Community Association,1028.8,2022,"Beans, pulses, fish, eggs, meat and other proteins",7702
Bradford Deaf Community Association,574.4,2022,Dairy and alternatives,7702
Bradford Deaf Community Association,785.88,2022,Eat less often and in small amounts,7702
Bradford Deaf Community Association,2527,2022,Fruit and vegetables,7702
Bradford Deaf Community Association,696.2,2022,Not Applicable,7702
Bradford Deaf Community Association,6,2022,Oil & Spreads,7702
Bradford Deaf Community Association,991.4,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",7702
Bradford Inn Churches,1260.9,2022,"Beans, pulses, fish, eggs, meat and other proteins",2466
Bradford Inn Churches,638,2022,Dairy and alternatives,2466
Bradford Inn Churches,1013.35,2022,Eat less often and in small amounts,2466
Bradford Inn Churches,3304.6,2022,Fruit and vegetables,2466
Bradford Inn Churches,418.2,2022,Not Applicable,2466
Bradford Inn Churches,7.5,2022,Oil & Spreads,2466
Bradford Inn Churches,1455.4,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",2466
Bradford Inn Churches (YSH),298.1,2022,"Beans, pulses, fish, eggs, meat and other proteins",9360
Bradford Inn Churches (YSH),6,2022,Dairy and alternatives,9360
Bradford Inn Churches (YSH),141.44,2022,Eat less often and in small amounts,9360
Bradford Inn Churches (YSH),197.2,2022,Fruit and vegetables,9360
Bradford Inn Churches (YSH),24,2022,Not Applicable,9360
Bradford Inn Churches (YSH),33.37,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9360
Bradford Salvation Army Lunch Club,1038.95,2022,"Beans, pulses, fish, eggs, meat and other proteins",937
Bradford Salvation Army Lunch Club,840.8,2022,Dairy and alternatives,937
Bradford Salvation Army Lunch Club,1317.05,2022,Eat less often and in small amounts,937
Bradford Salvation Army Lunch Club,637.7,2022,Fruit and vegetables,937
Bradford Salvation Army Lunch Club,827.3,2022,Not Applicable,937
Bradford Salvation Army Lunch Club,12,2022,Oil & Spreads,937
Bradford Salvation Army Lunch Club,892.25,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",937
Burmantofts Community Nursery,626.33,2022,"Beans, pulses, fish, eggs, meat and other proteins",10751
Burmantofts Community Nursery,451.1,2022,Dairy and alternatives,10751
Burmantofts Community Nursery,608.15,2022,Eat less often and in small amounts,10751
Burmantofts Community Nursery,2004.425,2022,Fruit and vegetables,10751
Burmantofts Community Nursery,351.3,2022,Not Applicable,10751
Burmantofts Community Nursery,6,2022,Oil & Spreads,10751
Burmantofts Community Nursery,862.3,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",10751
Burmantofts Community Nursery (YSH),425.1,2022,"Beans, pulses, fish, eggs, meat and other proteins",10806
Burmantofts Community Nursery (YSH),215.7,2022,Eat less often and in small amounts,10806
Burmantofts Community Nursery (YSH),546.5,2022,Fruit and vegetables,10806
Burmantofts Community Nursery (YSH),162.54,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",10806
Café West,871.96,2022,"Beans, pulses, fish, eggs, meat and other proteins",5155
Café West,598.5,2022,Dairy and alternatives,5155
Café West,776.79,2022,Eat less often and in small amounts,5155
Café West,2790.04,2022,Fruit and vegetables,5155
Café West,369.05,2022,Not Applicable,5155
Café West,9,2022,Oil & Spreads,5155
Café West,885.5,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",5155
Cafe West YSH,941.75,2022,"Beans, pulses, fish, eggs, meat and other proteins",9961
Cafe West YSH,14,2022,Dairy and alternatives,9961
Cafe West YSH,330.34,2022,Eat less often and in small amounts,9961
Cafe West YSH,681.7,2022,Fruit and vegetables,9961
Cafe West YSH,42,2022,Not Applicable,9961
Cafe West YSH,385.84,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9961
Canterbury Nursery School & Centre for Children and Families,729.99,2022,"Beans, pulses, fish, eggs, meat and other proteins",3144
Canterbury Nursery School & Centre for Children and Families,393.7,2022,Dairy and alternatives,3144
Canterbury Nursery School & Centre for Children and Families,715.52,2022,Eat less often and in small amounts,3144
Canterbury Nursery School & Centre for Children and Families,2071.38,2022,Fruit and vegetables,3144
Canterbury Nursery School & Centre for Children and Families,372,2022,Not Applicable,3144
Canterbury Nursery School & Centre for Children and Families,662.34,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",3144
Cardigan House,815.86,2022,"Beans, pulses, fish, eggs, meat and other proteins",3317
Cardigan House,732.15,2022,Dairy and alternatives,3317
Cardigan House,738.52,2022,Eat less often and in small amounts,3317
Cardigan House,2154.42,2022,Fruit and vegetables,3317
Cardigan House,440.55,2022,Not Applicable,3317
Cardigan House,3,2022,Oil & Spreads,3317
Cardigan House,1042.98,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",3317
Catch/Ark (Community Action To Create Hope) LW,0,2022,"Beans, pulses, fish, eggs, meat and other proteins",7646
Catch/Ark (Community Action To Create Hope) LW,0,2022,Dairy and alternatives,7646
Catch/Ark (Community Action To Create Hope) LW,0,2022,Eat less often and in small amounts,7646
Catch/Ark (Community Action To Create Hope) LW,0,2022,Fruit and vegetables,7646
Catch/Ark (Community Action To Create Hope) LW,0,2022,Not Applicable,7646
Catch/Ark (Community Action To Create Hope) LW,0,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",7646
Catch/Ark Community Cafe (HH),29,2022,"Beans, pulses, fish, eggs, meat and other proteins",4902
Catch/Ark Community Cafe (HH),13.05,2022,Dairy and alternatives,4902
Catch/Ark Community Cafe (HH),29.8,2022,Eat less often and in small amounts,4902
Catch/Ark Community Cafe (HH),39.4,2022,Fruit and vegetables,4902
Catch/Ark Community Cafe (HH),77.1,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",4902
Cavendish Primary School,258.2,2022,"Beans, pulses, fish, eggs, meat and other proteins",8331
Cavendish Primary School,139.4,2022,Dairy and alternatives,8331
Cavendish Primary School,570.02,2022,Eat less often and in small amounts,8331
Cavendish Primary School,1669,2022,Fruit and vegetables,8331
Cavendish Primary School,444.95,2022,Not Applicable,8331
Cavendish Primary School,3,2022,Oil & Spreads,8331
Cavendish Primary School,951.18,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",8331
CFYDC (Chance),1203.62,2022,"Beans, pulses, fish, eggs, meat and other proteins",6282
CFYDC (Chance),819.3,2022,Dairy and alternatives,6282
CFYDC (Chance),930.77,2022,Eat less often and in small amounts,6282
CFYDC (Chance),2260.86,2022,Fruit and vegetables,6282
CFYDC (Chance),518.15,2022,Not Applicable,6282
CFYDC (Chance),30,2022,Oil & Spreads,6282
CFYDC (Chance),1164.5,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",6282
CFYDC (Touchstone),186.76,2022,"Beans, pulses, fish, eggs, meat and other proteins",10540
CFYDC (Touchstone),177,2022,Dairy and alternatives,10540
CFYDC (Touchstone),237.02,2022,Eat less often and in small amounts,10540
CFYDC (Touchstone),621.8,2022,Fruit and vegetables,10540
CFYDC (Touchstone),161.1,2022,Not Applicable,10540
CFYDC (Touchstone),6,2022,Oil & Spreads,10540
CFYDC (Touchstone),327.9,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",10540
CFYDC Chance YSH,785.72,2022,"Beans, pulses, fish, eggs, meat and other proteins",9997
CFYDC Chance YSH,16,2022,Dairy and alternatives,9997
CFYDC Chance YSH,271.5,2022,Eat less often and in small amounts,9997
CFYDC Chance YSH,493.6,2022,Fruit and vegetables,9997
CFYDC Chance YSH,5,2022,Not Applicable,9997
CFYDC Chance YSH,311.3,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9997
Christ Church EC Academy,600.5,2022,"Beans, pulses, fish, eggs, meat and other proteins",5645
Christ Church EC Academy,596.9,2022,Dairy and alternatives,5645
Christ Church EC Academy,566.8,2022,Eat less often and in small amounts,5645
Christ Church EC Academy,2474.25,2022,Fruit and vegetables,5645
Christ Church EC Academy,230,2022,Not Applicable,5645
Christ Church EC Academy,10.5,2022,Oil & Spreads,5645
Christ Church EC Academy,920.2,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",5645
Clapgate Primary School,716.3,2022,"Beans, pulses, fish, eggs, meat and other proteins",6049
Clapgate Primary School,580.1,2022,Dairy and alternatives,6049
Clapgate Primary School,635.4,2022,Eat less often and in small amounts,6049
Clapgate Primary School,1485.92,2022,Fruit and vegetables,6049
Clapgate Primary School,360.9,2022,Not Applicable,6049
Clapgate Primary School,920.28,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",6049
Colne Valley Help / Slaithwaite Mutual Aid,1011.03,2022,"Beans, pulses, fish, eggs, meat and other proteins",9468
Colne Valley Help / Slaithwaite Mutual Aid,781,2022,Dairy and alternatives,9468
Colne Valley Help / Slaithwaite Mutual Aid,990.8,2022,Eat less often and in small amounts,9468
Colne Valley Help / Slaithwaite Mutual Aid,2358.76,2022,Fruit and vegetables,9468
Colne Valley Help / Slaithwaite Mutual Aid,516.7,2022,Not Applicable,9468
Colne Valley Help / Slaithwaite Mutual Aid,6,2022,Oil & Spreads,9468
Colne Valley Help / Slaithwaite Mutual Aid,1244.24,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9468
Community Awareness Programme (CAP),993.55,2022,"Beans, pulses, fish, eggs, meat and other proteins",946
Community Awareness Programme (CAP),272.7,2022,Dairy and alternatives,946
Community Awareness Programme (CAP),847.75,2022,Eat less often and in small amounts,946
Community Awareness Programme (CAP),3110.55,2022,Fruit and vegetables,946
Community Awareness Programme (CAP),430.3,2022,Not Applicable,946
Community Awareness Programme (CAP),19.2,2022,Oil & Spreads,946
Community Awareness Programme (CAP),1512.25,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",946
Community Awareness Programme (YSH),401.95,2022,"Beans, pulses, fish, eggs, meat and other proteins",10168
Community Awareness Programme (YSH),81.5,2022,Eat less often and in small amounts,10168
Community Awareness Programme (YSH),177.3,2022,Fruit and vegetables,10168
Community Awareness Programme (YSH),187.14,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",10168
Communityworks - Bradford,838.96,2022,"Beans, pulses, fish, eggs, meat and other proteins",947
Communityworks - Bradford,748.7,2022,Dairy and alternatives,947
Communityworks - Bradford,693.57,2022,Eat less often and in small amounts,947
Communityworks - Bradford,2279.56,2022,Fruit and vegetables,947
Communityworks - Bradford,449.8,2022,Not Applicable,947
Communityworks - Bradford,3,2022,Oil & Spreads,947
Communityworks - Bradford,1131.58,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",947
Complete Woman CIC,873.165,2022,"Beans, pulses, fish, eggs, meat and other proteins",7862
Complete Woman CIC,837.45,2022,Dairy and alternatives,7862
Complete Woman CIC,874.58,2022,Eat less often and in small amounts,7862
Complete Woman CIC,2374.37,2022,Fruit and vegetables,7862
Complete Woman CIC,510.75,2022,Not Applicable,7862
Complete Woman CIC,6,2022,Oil & Spreads,7862
Complete Woman CIC,1238.54,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",7862
Complete Woman CIC (YSH),797.94,2022,"Beans, pulses, fish, eggs, meat and other proteins",9422
Complete Woman CIC (YSH),53,2022,Dairy and alternatives,9422
Complete Woman CIC (YSH),310.7,2022,Eat less often and in small amounts,9422
Complete Woman CIC (YSH),571.3,2022,Fruit and vegetables,9422
Complete Woman CIC (YSH),355.7,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9422
"Connecting Crossgates ""Community Fridge""",223.6,2022,"Beans, pulses, fish, eggs, meat and other proteins",11276
"Connecting Crossgates ""Community Fridge""",323.2,2022,Dairy and alternatives,11276
"Connecting Crossgates ""Community Fridge""",189.65,2022,Eat less often and in small amounts,11276
"Connecting Crossgates ""Community Fridge""",562.44,2022,Fruit and vegetables,11276
"Connecting Crossgates ""Community Fridge""",156.2,2022,Not Applicable,11276
"Connecting Crossgates ""Community Fridge""",196.5,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",11276
Connecting Crossgates HH (Crossgates),60.81,2022,"Beans, pulses, fish, eggs, meat and other proteins",10807
Connecting Crossgates HH (Crossgates),16.65,2022,Dairy and alternatives,10807
Connecting Crossgates HH (Crossgates),41.4,2022,Eat less often and in small amounts,10807
Connecting Crossgates HH (Crossgates),63.9,2022,Fruit and vegetables,10807
Connecting Crossgates HH (Crossgates),48,2022,Not Applicable,10807
Connecting Crossgates HH (Crossgates),65.3,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",10807
Connecting Crossgates HH (Seacroft),21.2,2022,"Beans, pulses, fish, eggs, meat and other proteins",10808
Connecting Crossgates HH (Seacroft),2.7,2022,Dairy and alternatives,10808
Connecting Crossgates HH (Seacroft),8.6,2022,Eat less often and in small amounts,10808
Connecting Crossgates HH (Seacroft),35,2022,Fruit and vegetables,10808
Connecting Crossgates HH (Seacroft),4,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",10808
Cranmore Food Pantry - Health For All (YSH),1184.45,2022,"Beans, pulses, fish, eggs, meat and other proteins",9476
Cranmore Food Pantry - Health For All (YSH),15.6,2022,Dairy and alternatives,9476
Cranmore Food Pantry - Health For All (YSH),459,2022,Eat less often and in small amounts,9476
Cranmore Food Pantry - Health For All (YSH),864.2,2022,Fruit and vegetables,9476
Cranmore Food Pantry - Health For All (YSH),121,2022,Not Applicable,9476
Cranmore Food Pantry - Health For All (YSH),487.6,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9476
Cyrenians (BFD),201.1,2022,"Beans, pulses, fish, eggs, meat and other proteins",4628
Cyrenians (BFD),541.2,2022,Dairy and alternatives,4628
Cyrenians (BFD),725.22,2022,Eat less often and in small amounts,4628
Cyrenians (BFD),2207.3,2022,Fruit and vegetables,4628
Cyrenians (BFD),579.15,2022,Not Applicable,4628
Cyrenians (BFD),3,2022,Oil & Spreads,4628
Cyrenians (BFD),1012.3,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",4628
Cyrenians (YSH),0,2022,"Beans, pulses, fish, eggs, meat and other proteins",10124
Cyrenians (YSH),0,2022,Fruit and vegetables,10124
Cyrenians (YSH),0,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",10124
DAZL HH,40.6,2022,"Beans, pulses, fish, eggs, meat and other proteins",6853
DAZL HH,32,2022,Dairy and alternatives,6853
DAZL HH,90,2022,Eat less often and in small amounts,6853
DAZL HH,114.5,2022,Fruit and vegetables,6853
DAZL HH,83,2022,Not Applicable,6853
DAZL HH,49,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",6853
Emmaus Leeds (YSH),758.15,2022,"Beans, pulses, fish, eggs, meat and other proteins",9421
Emmaus Leeds (YSH),15,2022,Dairy and alternatives,9421
Emmaus Leeds (YSH),204.5,2022,Eat less often and in small amounts,9421
Emmaus Leeds (YSH),617.9,2022,Fruit and vegetables,9421
Emmaus Leeds (YSH),12,2022,Not Applicable,9421
Emmaus Leeds (YSH),333.64,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9421
Family Action - Gipton South Children's Centre (YSH),35,2022,"Beans, pulses, fish, eggs, meat and other proteins",9418
Family Action - Gipton South Children's Centre (YSH),8.6,2022,Eat less often and in small amounts,9418
Family Action - Gipton South Children's Centre (YSH),46.6,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9418
Family Action (BARCA) Bramley Community Action,127.8,2022,"Beans, pulses, fish, eggs, meat and other proteins",9343
Family Action (BARCA) Bramley Community Action,80.8,2022,Dairy and alternatives,9343
Family Action (BARCA) Bramley Community Action,110.82,2022,Eat less often and in small amounts,9343
Family Action (BARCA) Bramley Community Action,302.2,2022,Fruit and vegetables,9343
Family Action (BARCA) Bramley Community Action,81.05,2022,Not Applicable,9343
Family Action (BARCA) Bramley Community Action,45.9,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9343
Family Action Armley Children's Centre,127.8,2022,"Beans, pulses, fish, eggs, meat and other proteins",9344
Family Action Armley Children's Centre,80.8,2022,Dairy and alternatives,9344
Family Action Armley Children's Centre,110.82,2022,Eat less often and in small amounts,9344
Family Action Armley Children's Centre,302.2,2022,Fruit and vegetables,9344
Family Action Armley Children's Centre,81.05,2022,Not Applicable,9344
Family Action Armley Children's Centre,45.9,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9344
Family Action Club - Gipton South Children's Centre,144.16,2022,"Beans, pulses, fish, eggs, meat and other proteins",9323
Family Action Club - Gipton South Children's Centre,135.9,2022,Dairy and alternatives,9323
Family Action Club - Gipton South Children's Centre,100.72,2022,Eat less often and in small amounts,9323
Family Action Club - Gipton South Children's Centre,262.15,2022,Fruit and vegetables,9323
Family Action Club - Gipton South Children's Centre,44.2,2022,Not Applicable,9323
Family Action Club - Gipton South Children's Centre,168.88,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9323
Family Action Henry Barran Community Centre,144.16,2022,"Beans, pulses, fish, eggs, meat and other proteins",8684
Family Action Henry Barran Community Centre,135.9,2022,Dairy and alternatives,8684
Family Action Henry Barran Community Centre,100.72,2022,Eat less often and in small amounts,8684
Family Action Henry Barran Community Centre,262.15,2022,Fruit and vegetables,8684
Family Action Henry Barran Community Centre,44.2,2022,Not Applicable,8684
Family Action Henry Barran Community Centre,168.88,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",8684
Family Action Richmond Hill Academy,144.16,2022,"Beans, pulses, fish, eggs, meat and other proteins",9342
Family Action Richmond Hill Academy,135.9,2022,Dairy and alternatives,9342
Family Action Richmond Hill Academy,100.72,2022,Eat less often and in small amounts,9342
Family Action Richmond Hill Academy,262.15,2022,Fruit and vegetables,9342
Family Action Richmond Hill Academy,44.2,2022,Not Applicable,9342
Family Action Richmond Hill Academy,168.88,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9342
Family Action Zarach,127.8,2022,"Beans, pulses, fish, eggs, meat and other proteins",9980
Family Action Zarach,80.8,2022,Dairy and alternatives,9980
Family Action Zarach,110.82,2022,Eat less often and in small amounts,9980
Family Action Zarach,302.2,2022,Fruit and vegetables,9980
Family Action Zarach,81.05,2022,Not Applicable,9980
Family Action Zarach,45.9,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9980
Family Action Zarach (YSH),37.5,2022,"Beans, pulses, fish, eggs, meat and other proteins",10137
Family Action Zarach (YSH),8.6,2022,Eat less often and in small amounts,10137
Family Action Zarach (YSH),38.6,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",10137
Feedo Needo Bradford,333.26,2022,"Beans, pulses, fish, eggs, meat and other proteins",7295
Feedo Needo Bradford,677.4,2022,Dairy and alternatives,7295
Feedo Needo Bradford,749.08,2022,Eat less often and in small amounts,7295
Feedo Needo Bradford,2606.48,2022,Fruit and vegetables,7295
Feedo Needo Bradford,503.6,2022,Not Applicable,7295
Feedo Needo Bradford,6,2022,Oil & Spreads,7295
Feedo Needo Bradford,1318.47,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",7295
Fieldhead Primary Academy,534.2,2022,"Beans, pulses, fish, eggs, meat and other proteins",9482
Fieldhead Primary Academy,440.7,2022,Dairy and alternatives,9482
Fieldhead Primary Academy,724.9,2022,Eat less often and in small amounts,9482
Fieldhead Primary Academy,1621.9,2022,Fruit and vegetables,9482
Fieldhead Primary Academy,157.9,2022,Not Applicable,9482
Fieldhead Primary Academy,3,2022,Oil & Spreads,9482
Fieldhead Primary Academy,685.5,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9482
Food for life (Thursday),896.1,2022,"Beans, pulses, fish, eggs, meat and other proteins",5479
Food for life (Thursday),740.4,2022,Dairy and alternatives,5479
Food for life (Thursday),746.79,2022,Eat less often and in small amounts,5479
Food for life (Thursday),2136.58,2022,Fruit and vegetables,5479
Food for life (Thursday),485.5,2022,Not Applicable,5479
Food for life (Thursday),9,2022,Oil & Spreads,5479
